epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,237.741,0.93108,0.72595,1.06419,0.78261,0.82291,0.84601,0.58831,0.96517,0.79082,1.1132,0.00091175,0.00091175,0.00091175
43,243.286,0.96133,0.70396,1.06277,0.77043,0.86281,0.88993,0.64258,0.96322,0.71325,1.10977,0.0009035,0.0009035,0.0009035
44,248.853,0.91599,0.69034,1.04023,0.85208,0.74342,0.83538,0.62867,0.94802,0.79126,1.10913,0.00089525,0.00089525,0.00089525
45,254.324,0.94398,0.71927,1.06357,0.73742,0.7608,0.81411,0.61451,0.93823,0.79553,1.10463,0.000887,0.000887,0.000887
46,259.839,0.95643,0.74195,1.07432,0.83836,0.77301,0.85334,0.62509,0.97111,0.76464,1.11694,0.00087875,0.00087875,0.00087875
47,265.568,0.91083,0.7018,1.02501,0.88792,0.75085,0.86169,0.6081,0.95646,0.74486,1.09589,0.0008705,0.0008705,0.0008705
48,271.182,0.92119,0.70767,1.04973,0.84834,0.75427,0.84574,0.59803,1.00901,0.75727,1.11728,0.00086225,0.00086225,0.00086225
49,276.676,0.93751,0.69012,1.04689,0.82098,0.74533,0.82147,0.60301,0.93701,0.73038,1.09434,0.000854,0.000854,0.000854
50,282.184,0.86062,0.67709,1.01048,0.80859,0.78301,0.83102,0.62483,0.87638,0.7415,1.07302,0.00084575,0.00084575,0.00084575
51,287.703,0.90119,0.6711,1.03226,0.87783,0.82746,0.88947,0.6556,0.95543,0.72307,1.09955,0.0008375,0.0008375,0.0008375
52,293.215,0.90923,0.68543,1.03814,0.81213,0.81656,0.8703,0.6473,0.90268,0.67025,1.07054,0.00082925,0.00082925,0.00082925
53,298.692,0.89219,0.69009,1.03807,0.74315,0.83499,0.82463,0.62641,0.87579,0.72326,1.06113,0.000821,0.000821,0.000821
54,304.198,0.90508,0.67172,1.02781,0.928,0.7413,0.86008,0.61968,0.9506,0.71241,1.10125,0.00081275,0.00081275,0.00081275
55,309.737,0.90852,0.6525,1.03974,0.84121,0.78045,0.8792,0.62796,0.97297,0.69891,1.11298,0.0008045,0.0008045,0.0008045
56,315.225,0.89702,0.66794,1.02465,0.90499,0.78546,0.89334,0.64885,0.9473,0.67857,1.09789,0.00079625,0.00079625,0.00079625
57,320.689,0.88219,0.64353,1.02031,0.89297,0.80622,0.88257,0.63058,0.98382,0.71988,1.12915,0.000788,0.000788,0.000788
58,326.169,0.86522,0.66122,1.02124,0.8609,0.79922,0.87018,0.62862,0.93755,0.70625,1.10072,0.00077975,0.00077975,0.00077975
59,331.64,0.86823,0.6499,1.01893,0.83122,0.82266,0.8778,0.62512,1.00235,0.70371,1.14122,0.0007715,0.0007715,0.0007715
60,337.119,0.85925,0.64676,1.01524,0.83797,0.79716,0.83857,0.60973,0.92268,0.73776,1.10801,0.00076325,0.00076325,0.00076325
61,342.592,0.88354,0.65559,1.0311,0.81148,0.83706,0.86643,0.63549,0.9355,0.69437,1.09506,0.000755,0.000755,0.000755
62,348.092,0.84301,0.63126,1.01017,0.86932,0.76585,0.81497,0.60564,0.95922,0.81266,1.09686,0.00074675,0.00074675,0.00074675
63,353.605,0.8669,0.62907,1.01793,0.85273,0.75682,0.85883,0.62994,0.95701,0.75285,1.11056,0.0007385,0.0007385,0.0007385
64,359.153,0.86428,0.66543,1.01607,0.93872,0.7503,0.89749,0.66472,0.90847,0.64135,1.09275,0.00073025,0.00073025,0.00073025
65,364.632,0.86254,0.63814,1.02288,0.87558,0.74387,0.87096,0.63842,0.91227,0.69945,1.08378,0.000722,0.000722,0.000722
66,370.151,0.86122,0.63009,1.01835,0.8715,0.81308,0.87259,0.62404,0.93904,0.70343,1.1055,0.00071375,0.00071375,0.00071375
67,375.662,0.83796,0.60507,1.00065,0.91157,0.77089,0.87389,0.63247,0.92995,0.71037,1.11822,0.0007055,0.0007055,0.0007055
68,381.168,0.84587,0.62131,1.00236,0.80128,0.81493,0.84238,0.63083,0.88473,0.74288,1.07462,0.00069725,0.00069725,0.00069725
